iter	RMSE
0	5561894.789
1	5358841.321
2	5162124.473
3	4979537.723
4	4807219.901
5	4644766.338
6	4489896.811
7	4348690.47
8	4218385.249
9	4093098.658
10	3973410.131
11	3867597.969
12	3766956.955
13	3669781.647
14	3579101.304
15	3493239.394
16	3416516.24
17	3344201.701
18	3275057.39
19	3210438.663
20	3152401.096
21	3098393.555
22	3047418.951
23	3000302.288
24	2958435.201
25	2920256.882
26	2884130.545
27	2852263.875
28	2821628.116
29	2792961.599
30	2767885.666
31	2744812.39
32	2722900.038
33	2702732.884
34	2684702.567
35	2669162.939
36	2653646.983
37	2640899.456
38	2626890.074
39	2615020.773
40	2604673.682
41	2594268.712
42	2585362.109
43	2576704.545
44	2568275.891
45	2561117.992
46	2554895.958
47	2548595.206
48	2543042.823
49	2537898.627
50	2533140.403
51	2528866.308
52	2525249.846
53	2521956.677
54	2518768.254
55	2515872.922
56	2513051.156
57	2510259.028
58	2508481.85
59	2506579.588
60	2504747.026
61	2503121.474
62	2501395.329
63	2500079.631
64	2498911.697
65	2497761.444
66	2496884.648
67	2495559.919
68	2494483.16
69	2493437.523
70	2492725.162
71	2491792.455
72	2490934.103
73	2489928.428
74	2489198.737
75	2488582.543
76	2487281.952
77	2486721.893
78	2486199.696
79	2485359.597
80	2484937.279
81	2484495.939
82	2483985.53
83	2483526.355
84	2482930.908
85	2482440.487
86	2482063.87
87	2481920.334
88	2481638.733
89	2481418.252
90	2481258.671
91	2480750.47
92	2480507.513
93	2480294.012
94	2479374.548
95	2478414.069
96	2478183.611
97	2477807.133
98	2477358.836
99	2477274.252
100	2476937.282
101	2476866.311
102	2476735.838
103	2475619.004
104	2475538.48
105	2475271.077
106	2475114.007
107	2474986.874
108	2474810.385
109	2474758.559
110	2474494.276
111	2474412.141
112	2474055.405
113	2473862.352
114	2473331.878
115	2473263.051
116	2472508.677
117	2472244.028
118	2472124.705
119	2471985.132
120	2471728.956
121	2471574.488
122	2471518.978
123	2471350.892
124	2470901.797
125	2470682.271
126	2470494.805
127	2470435.072
128	2470411.986
129	2470367.029
130	2470179.531
131	2470014.358
132	2469952.318
133	2469894.828
134	2469850.932
135	2469465.053
136	2468763.91
137	2468475.882
138	2468404.366
139	2467781.898
140	2467560.446
141	2467300.681
142	2466673.263
143	2466597.515
144	2466337.99
145	2466029.818
146	2465918.549
147	2465871.399
148	2465776.737
149	2465403.609
150	2465196
151	2464932.065
152	2464626.207
153	2464494.141
154	2464391.432
155	2464256.375
156	2464036.737
157	2464011.956
158	2463423.406
