iter	Passed	Remaining
0	3	3630
1	5	2944
2	8	2783
3	10	2653
4	12	2534
5	14	2460
6	17	2470
7	19	2448
8	22	2489
9	25	2507
10	27	2478
11	29	2450
12	31	2424
13	35	2472
14	37	2458
15	40	2463
16	42	2441
17	44	2428
18	47	2458
19	49	2440
20	51	2421
21	54	2420
22	57	2425
23	59	2422
24	62	2424
25	64	2412
26	66	2395
27	68	2394
28	71	2387
29	73	2386
30	76	2385
31	78	2378
32	81	2397
33	84	2399
34	86	2387
35	89	2392
36	91	2384
37	93	2368
38	95	2354
39	97	2341
40	99	2336
41	102	2327
42	104	2321
43	106	2311
44	108	2302
45	110	2292
46	112	2286
47	115	2290
48	117	2283
49	119	2274
50	121	2262
51	123	2255
52	125	2247
53	127	2239
54	130	2237
55	132	2235
56	134	2227
57	136	2218
58	138	2211
59	140	2203
60	142	2194
61	144	2192
62	147	2190
63	149	2183
64	151	2175
65	153	2170
66	155	2162
67	157	2154
68	159	2151
69	161	2150
70	164	2145
71	166	2146
72	168	2140
73	170	2137
74	172	2132
75	175	2129
76	177	2128
77	179	2124
78	182	2123
79	184	2124
80	186	2118
81	188	2114
82	191	2116
83	193	2113
84	196	2110
85	198	2104
86	200	2099
87	202	2095
88	204	2092
89	206	2092
90	209	2088
91	211	2084
92	213	2080
93	215	2075
94	217	2072
95	219	2069
96	222	2069
97	224	2066
98	226	2061
99	228	2057
100	230	2053
101	232	2044
102	234	2041
103	236	2039
104	238	2037
105	241	2035
106	243	2032
107	245	2027
108	247	2022
109	249	2017
110	251	2014
111	254	2015
112	256	2010
113	258	2005
114	260	2000
115	262	2000
116	264	1996
117	266	1995
118	269	1994
119	271	1990
120	273	1985
121	275	1982
122	277	1979
123	279	1974
124	281	1971
125	283	1969
126	286	1966
127	288	1962
128	290	1960
129	292	1959
130	294	1955
131	296	1950
132	299	1949
133	301	1947
134	303	1943
135	305	1939
136	307	1936
137	309	1932
138	311	1928
139	313	1927
140	315	1924
141	317	1920
142	319	1917
143	321	1913
144	324	1910
145	326	1907
146	328	1905
147	330	1903
148	332	1899
149	334	1897
150	337	1894
151	339	1891
152	341	1888
153	343	1887
154	345	1886
155	348	1883
156	350	1879
157	352	1876
158	353	1872
159	355	1867
160	357	1863
161	360	1862
162	362	1860
163	364	1857
164	366	1854
165	368	1850
166	370	1847
167	372	1843
168	374	1841
169	376	1840
170	379	1837
171	380	1833
172	382	1829
173	384	1825
174	386	1822
175	388	1818
176	390	1817
177	393	1816
178	395	1812
179	397	1809
180	399	1807
181	401	1803
182	403	1800
183	405	1799
184	407	1797
185	409	1793
186	411	1789
187	413	1786
188	415	1782
189	417	1780
190	420	1779
191	422	1778
192	424	1775
193	426	1771
194	428	1767
195	430	1764
196	432	1761
197	434	1760
198	437	1759
199	439	1758
200	441	1755
201	443	1753
202	445	1749
203	447	1746
204	449	1743
205	452	1743
206	454	1740
207	456	1739
208	458	1736
209	461	1735
210	463	1733
211	465	1730
212	468	1729
213	470	1726
214	472	1726
215	474	1723
216	477	1721
217	479	1718
218	481	1715
219	483	1714
220	485	1712
221	488	1710
222	490	1708
223	492	1705
224	494	1703
