iter	RMSE
0	5558220.934
1	5356304.46
2	5162150.071
3	4979842.526
4	4811717.172
5	4647639.21
6	4494020.709
7	4351692.677
8	4219991.913
9	4094951.902
10	3975700.077
11	3865510.163
12	3762703.405
13	3663186.937
14	3571316.252
15	3482764.514
16	3403484.423
17	3328517.069
18	3257921.892
19	3194208.519
20	3132201.802
21	3075393.766
22	3022276.851
23	2974408.953
24	2930357.557
25	2890829.694
26	2851743.275
27	2818306.17
28	2785135.646
29	2754300.682
30	2727311.414
31	2701051.572
32	2678088.93
33	2655328.368
34	2635681.164
35	2618727.801
36	2602320.7
37	2587913.087
38	2572565.538
39	2559539.136
40	2547934.962
41	2536862.078
42	2526926.968
43	2516864.666
44	2508590.396
45	2500895.363
46	2493866.203
47	2486933.588
48	2481032.323
49	2475798.873
50	2470209.581
51	2465489.899
52	2461104.791
53	2457447.939
54	2453316.794
55	2449680.937
56	2446064.263
57	2442983.667
58	2440678.489
59	2438355.373
60	2436127.595
61	2434126.994
62	2432312.949
63	2430530.491
64	2428705.618
65	2427192.135
66	2425867.273
67	2423778.868
68	2422481.98
69	2421130.395
70	2420207.548
71	2419012.579
72	2417999.619
73	2417002.231
74	2416170.987
75	2415450.481
76	2414769.93
77	2414125.697
78	2413541.33
79	2413080.016
80	2412655.202
81	2411387.153
82	2410906.436
83	2410407.435
84	2410090.311
85	2409832.312
86	2409390.067
87	2408334.186
88	2407995.166
89	2407784.774
90	2407580.351
91	2406561.655
92	2405698.933
93	2404862.795
94	2404574.319
95	2403809.384
96	2403386.985
97	2403175.807
98	2402975.927
99	2402876.082
100	2402679.322
101	2402598.291
102	2402158.665
103	2401936.073
104	2401696.57
105	2401356.468
106	2401153.705
107	2401006.529
108	2400685.019
109	2400612.945
110	2400483.491
111	2400379.065
112	2400004.123
113	2399693.362
114	2399630.473
115	2399552.439
116	2399036.778
117	2398738.019
118	2398602.812
119	2398328.897
120	2397736.496
121	2397162.685
122	2397040.008
123	2396958.432
124	2396470.083
125	2396424.584
126	2396190.407
127	2395842.536
128	2395724.365
129	2395694.911
130	2395251.59
131	2395107.969
132	2394793.33
133	2394749.387
134	2394473.114
135	2394366.76
136	2393977.448
137	2393692.817
138	2393659.29
139	2393468.184
140	2393188.122
141	2392971.571
142	2392899.609
143	2392851.996
144	2392337.159
145	2392011.655
146	2391823.39
147	2391752.272
148	2391629.652
149	2391476.14
150	2391437.952
151	2391315.147
152	2391076.71
153	2390735.229
154	2390636.614
155	2390450.549
156	2390290.586
157	2389870.589
158	2389564.369
159	2389053.948
160	2388830.012
161	2388754.886
162	2388291.222
163	2387876.076
164	2387797.578
165	2387675.406
166	2387469.064
167	2387204.574
168	2386757.485
169	2386407.885
170	2386370.725
171	2386283.018
172	2385961.208
173	2385700.791
174	2385477.534
175	2385251.097
176	2385070.507
177	2384688.443
178	2384296.9
179	2383999.201
180	2383577.646
181	2383349.028
182	2383090.798
183	2382919.329
184	2382609.354
185	2382375.538
186	2382093.533
187	2381818.58
188	2381534.579
189	2381116.805
190	2380711.356
191	2380307.297
192	2380016.321
193	2379758.492
194	2379518.078
195	2379179.243
196	2378967.515
197	2378535.085
198	2378217.987
199	2378061.581
200	2377644.287
201	2377291.626
202	2377126.662
203	2376815.992
204	2376644.234
205	2376354.784
206	2376068.062
207	2375667.926
208	2375335.017
209	2375050.071
210	2374961.832
211	2374408.827
212	2374221.962
213	2373944.048
214	2373803.71
215	2373400.78
216	2373186.22
217	2372988.69
218	2372895.789
219	2372508.144
220	2372141.326
221	2371838.559
222	2371366.225
223	2371256.718
224	2371177.697
225	2370718.752
226	2370285.725
227	2369938.226
228	2369632.892
229	2369275.264
230	2368990.385
231	2368622.132
232	2368362.157
233	2368261.464
234	2368167.059
235	2367796.906
236	2367725.447
237	2367320.874
238	2367011.512
239	2366891.077
240	2366566.396
241	2366071.983
242	2365757.174
243	2365420.201
244	2365131.522
245	2364923.856
246	2364862.087
247	2364815.319
248	2364556.34
249	2364218.259
250	2363993.709
251	2363708.612
252	2363440.227
253	2362947.679
254	2362841.219
255	2362628.348
256	2362301.217
257	2362250.624
258	2361951.972
259	2361701.069
260	2361355.83
261	2361296.929
262	2361017.752
263	2360718.032
264	2360487.57
265	2360382.644
266	2360120.926
267	2360048.943
268	2359725.027
269	2359456.313
270	2359238.51
271	2359172.241
272	2358866.793
273	2358812.857
274	2358580.234
