iter	Passed	Remaining
0	19	19362
1	32	16228
2	47	15927
3	57	14425
4	68	13727
5	84	13959
6	106	15122
7	117	14543
8	131	14447
9	141	14033
10	152	13674
11	164	13573
12	177	13478
13	189	13342
14	202	13297
15	218	13414
16	229	13280
17	245	13416
18	261	13522
19	273	13417
20	284	13240
21	296	13202
22	313	13313
23	324	13209
24	335	13098
25	346	12970
26	362	13073
27	378	13125
28	389	13049
29	398	12878
30	411	12861
31	424	12843
32	435	12759
33	445	12664
34	460	12702
35	476	12764
36	489	12739
37	504	12761
38	517	12740
39	529	12703
40	543	12722
41	557	12721
42	574	12776
43	588	12787
44	602	12788
45	617	12798
46	626	12698
47	639	12678
48	653	12678
49	664	12621
50	673	12534
51	685	12493
52	697	12457
53	707	12395
54	719	12365
55	735	12390
56	746	12357
57	756	12281
58	769	12278
59	782	12261
60	795	12248
61	805	12190
62	817	12161
63	830	12139
64	837	12050
65	849	12020
66	861	11991
67	870	11927
68	883	11922
69	895	11903
70	906	11856
71	918	11837
72	931	11834
73	945	11829
74	961	11859
75	974	11844
76	987	11831
77	999	11811
78	1012	11798
79	1025	11791
80	1039	11798
81	1056	11822
82	1064	11760
83	1077	11755
84	1092	11765
85	1105	11744
86	1117	11726
87	1139	11807
88	1160	11881
89	1179	11923
90	1200	11988
91	1221	12052
92	1237	12069
93	1250	12055
94	1268	12081
95	1282	12072
96	1307	12174
97	1325	12198
98	1343	12227
99	1360	12247
100	1374	12235
101	1386	12209
102	1402	12209
103	1415	12190
104	1441	12289
105	1462	12333
106	1475	12317
107	1491	12321
108	1506	12312
109	1522	12316
110	1538	12323
111	1551	12299
112	1560	12250
113	1570	12209
114	1580	12164
115	1592	12134
116	1608	12137
117	1634	12220
118	1662	12308
119	1680	12320
120	1694	12307
121	1704	12269
122	1719	12262
123	1737	12277
124	1751	12258
125	1764	12242
126	1775	12207
127	1786	12170
128	1800	12159
129	1813	12138
130	1825	12110
131	1835	12068
132	1847	12043
133	1860	12022
134	1874	12009
135	1883	11965
136	1896	11945
137	1908	11923
138	1918	11886
139	1931	11866
140	1945	11850
141	1954	11811
142	1966	11788
143	1978	11759
144	1992	11747
145	2002	11713
146	2012	11680
147	2024	11652
148	2034	11621
149	2043	11581
150	2053	11546
151	2062	11505
152	2074	11484
153	2087	11466
154	2095	11425
155	2108	11409
156	2122	11394
157	2136	11383
158	2148	11364
159	2159	11339
160	2171	11318
161	2184	11300
162	2193	11261
163	2205	11242
164	2215	11211
165	2226	11184
166	2238	11166
167	2249	11140
168	2259	11108
169	2273	11101
170	2286	11084
171	2301	11080
172	2317	11078
173	2331	11067
174	2342	11041
175	2357	11035
176	2370	11020
177	2383	11006
178	2394	10980
179	2405	10957
180	2418	10944
181	2432	10932
182	2444	10912
183	2456	10894
184	2469	10877
185	2482	10864
186	2494	10845
187	2505	10822
188	2518	10807
189	2532	10797
190	2548	10794
191	2561	10777
192	2572	10755
193	2581	10725
194	2595	10712
195	2605	10688
196	2617	10667
197	2627	10643
198	2636	10613
199	2645	10583
200	2654	10553
201	2663	10523
202	2673	10497
203	2687	10488
204	2698	10463
205	2710	10448
206	2721	10426
207	2730	10398
208	2746	10396
209	2761	10388
210	2775	10377
211	2787	10362
212	2802	10353
213	2813	10332
214	2826	10321
215	2840	10309
216	2854	10298
217	2869	10292
218	2878	10264
219	2891	10252
220	2905	10242
221	2916	10222
222	2927	10201
223	2940	10185
224	2954	10175
225	2966	10161
226	2974	10130
227	2988	10119
228	2998	10097
229	3012	10083
230	3024	10068
231	3038	10059
232	3055	10057
233	3069	10047
234	3080	10028
235	3091	10008
236	3105	9996
237	3116	9976
238	3124	9947
239	3132	9918
240	3140	9891
241	3148	9862
242	3158	9838
243	3166	9811
244	3178	9793
245	3190	9778
246	3200	9756
247	3207	9726
248	3220	9712
249	3233	9699
250	3250	9699
251	3267	9697
252	3285	9700
253	3298	9689
254	3318	9696
255	3333	9689
256	3346	9676
257	3355	9650
258	3366	9631
259	3381	9624
260	3395	9613
261	3410	9605
262	3417	9577
263	3430	9564
264	3447	9562
265	3461	9551
266	3478	9550
267	3491	9537
268	3504	9522
269	3513	9498
270	3526	9487
271	3537	9469
272	3551	9456
273	3562	9438
274	3576	9429
275	3591	9421
276	3606	9414
277	3617	9394
278	3627	9373
279	3636	9351
280	3646	9331
281	3655	9307
282	3664	9285
283	3677	9271
284	3693	9266
285	3724	9299
286	3739	9291
287	3758	9290
288	3773	9282
289	3789	9278
290	3803	9267
291	3817	9256
292	3830	9242
293	3843	9230
294	3856	9215
295	3871	9207
296	3887	9201
297	3900	9188
298	3917	9184
299	3934	9181
300	3949	9171
301	3962	9158
302	3979	9153
303	3993	9142
304	4003	9122
305	4018	9114
306	4032	9103
307	4045	9088
308	4055	9068
309	4067	9052
310	4082	9043
311	4094	9029
312	4107	9016
313	4123	9009
314	4135	8993
315	4143	8968
316	4152	8947
317	4160	8922
318	4169	8900
319	4179	8880
320	4192	8867
321	4205	8854
322	4222	8849
323	4243	8853
324	4257	8842
325	4275	8839
326	4289	8827
327	4303	8816
328	4328	8827
329	4342	8816
330	4355	8803
331	4367	8788
332	4379	8772
333	4392	8759
334	4405	8744
335	4418	8732
336	4428	8712
337	4441	8698
338	4453	8683
339	4465	8668
340	4474	8647
341	4487	8633
342	4500	8621
343	4512	8604
344	4522	8587
345	4535	8572
346	4546	8555
347	4556	8536
348	4569	8523
349	4582	8509
350	4593	8493
351	4604	8476
352	4615	8460
353	4629	8449
354	4640	8430
355	4650	8412
356	4659	8392
357	4669	8373
358	4679	8356
359	4695	8347
360	4703	8325
361	4715	8311
362	4729	8299
363	4742	8286
364	4754	8271
365	4765	8254
366	4777	8240
367	4786	8220
368	4798	8205
369	4813	8195
370	4826	8183
371	4840	8171
372	4849	8151
373	4861	8137
374	4874	8124
375	4883	8104
376	4895	8090
377	4905	8071
378	4916	8055
379	4929	8043
380	4944	8033
381	4958	8021
382	4967	8002
383	4978	7986
384	4990	7972
385	5000	7953
386	5012	7938
387	5024	7925
388	5034	7907
389	5046	7893
390	5058	7879
391	5071	7865
392	5079	7845
393	5088	7826
394	5097	7807
395	5109	7793
396	5122	7780
397	5131	7761
398	5140	7743
399	5149	7723
400	5157	7703
401	5168	7688
402	5177	7669
403	5191	7658
404	5206	7649
405	5222	7640
406	5235	7628
407	5264	7638
408	5273	7619
409	5284	7604
410	5296	7590
411	5305	7571
412	5318	7559
413	5331	7546
414	5340	7528
415	5352	7514
416	5363	7498
417	5374	7483
418	5385	7468
419	5398	7454
420	5410	7440
421	5419	7423
422	5432	7410
423	5446	7399
424	5459	7386
425	5470	7370
426	5482	7356
427	5493	7342
428	5504	7325
429	5515	7310
430	5527	7297
431	5539	7283
432	5548	7265
433	5564	7256
434	5577	7243
435	5588	7229
436	5597	7211
437	5611	7199
438	5622	7184
439	5631	7166
440	5644	7155
441	5657	7142
442	5666	7125
443	5677	7109
444	5686	7091
445	5695	7074
446	5705	7058
447	5716	7043
448	5724	7025
449	5737	7012
450	5745	6994
451	5757	6980
452	5769	6966
453	5781	6952
454	5791	6937
455	5805	6925
456	5815	6909
457	5827	6895
458	5839	6882
459	5851	6869
460	5860	6852
461	5872	6838
462	5885	6825
463	5897	6813
464	5906	6795
465	5919	6783
466	5931	6769
467	5941	6753
468	5958	6746
469	5975	6737
470	6001	6740
471	6016	6730
472	6029	6717
473	6038	6700
474	6049	6686
475	6058	6669
476	6069	6654
477	6082	6642
478	6095	6630
479	6109	6619
480	6125	6609
481	6138	6596
482	6154	6588
483	6170	6578
484	6185	6568
485	6207	6564
486	6221	6554
487	6233	6540
488	6245	6526
489	6256	6512
490	6276	6506
491	6293	6497
492	6305	6484
493	6317	6470
494	6331	6459
495	6345	6447
496	6358	6435
497	6370	6422
498	6380	6406
499	6393	6393
500	6407	6381
501	6420	6369
502	6431	6355
503	6444	6342
504	6459	6331
505	6474	6320
506	6486	6307
507	6495	6290
508	6508	6278
509	6522	6266
510	6534	6252
511	6542	6235
512	6555	6223
513	6566	6208
514	6578	6195
515	6592	6183
516	6605	6171
517	6616	6156
518	6627	6142
519	6641	6130
520	6656	6120
521	6670	6107
522	6685	6097
523	6694	6081
524	6707	6069
525	6722	6058
526	6734	6044
527	6743	6028
528	6751	6011
529	6761	5995
530	6771	5980
531	6780	5964
532	6788	5948
533	6799	5933
534	6812	5920
535	6822	5906
536	6835	5893
537	6848	5881
538	6858	5865
539	6869	5851
540	6881	5838
541	6891	5823
542	6901	5808
543	6914	5796
544	6925	5782
545	6933	5765
546	6942	5749
547	6951	5733
548	6962	5719
549	6969	5701
550	6978	5686
551	6987	5670
552	6996	5655
553	7005	5639
554	7013	5623
555	7024	5609
556	7033	5593
557	7045	5580
558	7055	5565
559	7065	5551
560	7076	5537
561	7084	5521
562	7097	5508
563	7108	5495
564	7117	5480
565	7129	5466
566	7142	5454
567	7151	5439
568	7166	5428
569	7178	5415
570	7194	5404
571	7207	5393
572	7221	5381
573	7233	5368
574	7244	5354
